PromoID,PromoType,PromoDate,UserID,Treatment,GrossBooking,Age,Gender,NumberOfBooking,ResponseToPastPromo,LastBooking(Days),isMember,average_apps_open_week
1,N/A,,1,0,98.34616740366924,56,male,16,1,148,0,30.94079325248983
1,N/A,,2,0,99.15044171137785,69,male,49,1,339,0,32.46626298194395
1,N/A,,3,0,93.61921979726596,46,male,39,0,115,0,30.170031954244678
1,N/A,,4,0,87.3825896136698,32,female,44,0,213,0,31.39351300731448
1,N/A,,5,0,100.47898475129786,60,male,31,1,293,0,30.839951681052348
1,N/A,2024-01-08,6,1,108.16782984919766,25,male,28,1,252,0,30.32112286103702
1,N/A,,7,0,98.35762448699944,38,male,2,1,142,0,30.64328124123877
1,N/A,,8,0,99.91437788230367,56,female,39,0,249,0,30.406130224853975
1,N/A,,9,0,100.89758774511273,36,female,33,1,301,0,30.865867147197072
1,N/A,,10,0,100.58696304824754,40,male,39,0,24,1,32.19823058051977
1,N/A,,11,0,102.35580469390581,28,male,26,0,276,0,30.842355059805854
1,N/A,,12,0,102.72151314105531,28,male,12,0,69,0,30.9989183271274
1,N/A,,13,0,102.87704528800965,41,male,44,0,112,0,30.73136391986227
1,N/A,2024-01-04,14,1,277.40561194570455,53,female,32,1,362,0,30.052520896472725
1,N/A,,15,0,96.98137465347153,57,female,5,0,111,0,30.265084083763924
1,N/A,2024-01-08,16,1,309.06972839085535,41,female,23,1,363,1,30.677277235803313
1,N/A,,17,0,97.45060546478317,20,female,18,1,302,0,30.371404730475813
1,N/A,,18,0,106.34813432869487,39,male,15,0,90,0,30.20060398383999
1,N/A,,19,0,104.78835924011405,19,male,39,0,17,0,30.701447214577584
1,N/A,,20,0,92.93996902557961,41,male,27,0,148,1,30.389803090505
1,N/A,,21,0,92.66694360909392,61,female,32,1,226,0,30.29855111800095
1,N/A,,22,0,102.51826492215206,47,male,47,1,213,0,30.623593912013472
1,N/A,2024-01-02,23,1,408.1626352630126,55,female,40,0,359,1,30.143044219954024
1,N/A,,24,0,89.47126754726568,19,female,12,1,150,0,32.62756389595361
1,N/A,,25,0,104.79261196884131,38,male,42,0,191,1,32.02269906527523
1,N/A,,26,0,94.89819510378679,50,male,44,0,39,0,31.229702956254307
1,N/A,,27,0,88.7366564383288,29,male,24,0,241,0,30.112288713164613
1,N/A,,28,0,99.10691490902732,39,female,41,1,137,0,31.495561406091003
1,N/A,,29,0,102.6389548421865,61,male,35,0,344,0,31.65003768221591
1,N/A,,30,0,89.49755358731497,42,female,26,1,179,0,31.460003842835544
1,N/A,,31,0,101.4060594331018,66,male,37,0,199,1,30.12099982699549
1,N/A,,32,0,105.72657445951572,44,female,6,0,202,1,31.032566033985308
1,N/A,,33,0,93.94101954340654,59,female,4,0,60,0,31.797726008169604
1,N/A,,34,0,103.44841747886218,45,male,42,1,191,0,30.861218913006592
1,N/A,,35,0,92.29902918595506,33,female,44,0,4,0,31.03960980598167
1,N/A,,36,0,107.56283777411835,32,female,30,1,236,0,30.613160128760658
1,N/A,,37,0,92.45549667652584,64,male,22,1,180,0,30.75227597643564
1,N/A,,38,0,98.91259219672784,68,female,41,1,310,0,30.03498164340452
1,N/A,2024-01-04,39,1,82.9194534467242,61,male,9,0,36,0,31.018774893688107
1,N/A,,40,0,98.83648874845674,69,female,31,0,55,0,30.084955904983424
1,N/A,2024-01-03,41,1,47.70180560968537,20,male,42,0,236,0,30.570955378859974
1,N/A,,42,0,101.28285276364637,54,male,29,1,357,1,30.3462368928147
1,N/A,,43,0,94.12802300046299,68,female,38,1,348,0,30.788398852541654
1,N/A,,44,0,106.03754663801735,24,female,30,0,196,1,30.14319661998463
1,N/A,,45,0,103.2959652767016,38,female,17,1,72,0,31.17649837992475
1,N/A,,46,0,94.54751451454165,26,female,35,0,58,0,31.584801579127234
1,N/A,,47,0,104.72283132402085,56,female,1,0,239,0,30.17835477457976
1,N/A,,48,0,98.73375635551196,35,male,13,0,1,0,30.110164354919426
1,N/A,,49,0,99.2732312443349,21,female,12,0,359,0,30.15725689570985
